,hobo_stage,hobo_stage_int,stage,r_timestamp,power_q,radius,area,int_or_ext,mannings_q,best_q,source
124,0.467,0.5284589,0.7501749,4/3/19 7:30,1.653665357,8.5503498,5.288733045,interpolated,2.54935228,1.653665357,measured
125,0.469,0.5304523,0.7521683,4/3/19 7:40,1.712643518,8.5543366,5.302786515,interpolated,2.556921046,1.712643518,measured
126,0.468,0.5294556,0.7511716,4/3/19 7:50,1.682915654,8.5523432,5.29575978,interpolated,2.553136152,1.682915654,measured
127,0.466,0.5274622,0.7491782,4/3/19 8:00,1.624885573,8.5483564,5.28170631,interpolated,2.54556943,1.624885573,measured
128,0.465,0.5264655,0.7481815,4/3/19 8:10,1.596569344,8.546363,5.274679575,interpolated,2.541787602,1.596569344,measured
129,0.467,0.5284589,0.7501749,4/3/19 8:20,1.653665357,8.5503498,5.288733045,interpolated,2.54935228,1.653665357,measured
130,0.466,0.5274622,0.7491782,4/3/19 8:30,1.624885573,8.5483564,5.28170631,interpolated,2.54556943,1.624885573,measured
131,0.467,0.5284589,0.7501749,4/3/19 8:40,1.653665357,8.5503498,5.288733045,interpolated,2.54935228,1.653665357,measured
132,0.464,0.5254688,0.7471848,4/3/19 8:50,1.568709807,8.5443696,5.26765284,interpolated,2.538006797,1.568709807,measured
133,0.462,0.5234754,0.7451914,4/3/19 9:00,1.514333816,8.5403828,5.25359937,interpolated,2.530448254,1.514333816,measured
134,0.462,0.5234754,0.7451914,4/3/19 9:10,1.514333816,8.5403828,5.25359937,interpolated,2.530448254,1.514333816,measured
135,0.461,0.5224787,0.7441947,4/3/19 9:20,1.487804093,8.5383894,5.246572635,interpolated,2.526670516,1.487804093,measured
136,0.46,0.521482,0.743198,4/3/19 9:30,1.461704522,8.536396,5.2395459,interpolated,2.522893801,1.461704522,measured
137,0.458,0.5194886,0.7412046,4/3/19 9:40,1.410770278,8.5324092,5.22549243,interpolated,2.51534344,1.410770278,measured
138,0.451,0.5125117,0.7342277,4/3/19 9:50,1.245135592,8.5184554,5.176305285,interpolated,2.488949409,1.245135592,measured
139,0.446,0.5075282,0.7292442,4/3/19 10:00,1.138040057,8.5084884,5.14117161,interpolated,2.470127246,1.138040057,measured
140,0.444,0.5055348,0.7272508,4/3/19 10:10,1.097637965,8.5045016,5.12711814,interpolated,2.462605551,1.097637965,measured
141,0.443,0.5045381,0.7262541,4/3/19 10:20,1.07793795,8.5025082,5.120091405,interpolated,2.45884624,1.07793795,measured
142,0.439,0.5005513,0.7222673,4/3/19 10:30,1.002360665,8.4945346,5.091984465,interpolated,2.443819248,1.002360665,measured
143,0.443,0.5045381,0.7262541,4/3/19 10:40,1.07793795,8.5025082,5.120091405,interpolated,2.45884624,1.07793795,measured
144,0.446,0.5075282,0.7292442,4/3/19 10:50,1.138040057,8.5084884,5.14117161,interpolated,2.470127246,1.138040057,measured
145,0.444,0.5055348,0.7272508,4/3/19 11:00,1.097637965,8.5045016,5.12711814,interpolated,2.462605551,1.097637965,measured
146,0.445,0.5065315,0.7282475,4/3/19 11:10,1.117670288,8.506495,5.134144875,interpolated,2.466365886,1.117670288,measured
147,0.444,0.5055348,0.7272508,4/3/19 11:20,1.097637965,8.5045016,5.12711814,interpolated,2.462605551,1.097637965,measured
148,0.445,0.5065315,0.7282475,4/3/19 11:30,1.117670288,8.506495,5.134144875,interpolated,2.466365886,1.117670288,measured
149,0.445,0.5065315,0.7282475,4/3/19 11:40,1.117670288,8.506495,5.134144875,interpolated,2.466365886,1.117670288,measured
150,0.448,0.5095216,0.7312376,4/3/19 11:50,1.179812856,8.5124752,5.15522508,interpolated,2.477653039,1.179812856,measured
151,0.446,0.5075282,0.7292442,4/3/19 12:00,1.138040057,8.5084884,5.14117161,interpolated,2.470127246,1.138040057,measured
152,0.446,0.5075282,0.7292442,4/3/19 12:10,1.138040057,8.5084884,5.14117161,interpolated,2.470127246,1.138040057,measured
153,0.449,0.5105183,0.7322343,4/3/19 12:20,1.201226529,8.5144686,5.162251815,interpolated,2.481417471,1.201226529,measured
154,0.45,0.511515,0.733231,4/3/19 12:30,1.222998938,8.516462,5.16927855,interpolated,2.485182928,1.222998938,measured
155,0.455,0.5164985,0.7382145,4/3/19 12:40,1.337437573,8.526429,5.204412225,interpolated,2.504025572,1.337437573,measured
156,0.454,0.5155018,0.7372178,4/3/19 12:50,1.313787285,8.5244356,5.19738549,interpolated,2.500254996,1.313787285,measured
157,0.459,0.5204853,0.7422013,4/3/19 13:00,1.436028692,8.5344026,5.232519165,interpolated,2.519118109,1.436028692,measured
158,0.46,0.521482,0.743198,4/3/19 13:10,1.461704522,8.536396,5.2395459,interpolated,2.522893801,1.461704522,measured
159,0.461,0.5224787,0.7441947,4/3/19 13:20,1.487804093,8.5383894,5.246572635,interpolated,2.526670516,1.487804093,measured
160,0.464,0.5254688,0.7471848,4/3/19 13:30,1.568709807,8.5443696,5.26765284,interpolated,2.538006797,1.568709807,measured
161,0.463,0.5244721,0.7461881,4/3/19 13:40,1.541300191,8.5423762,5.260626105,interpolated,2.534227014,1.541300191,measured
162,0.462,0.5234754,0.7451914,4/3/19 13:50,1.514333816,8.5403828,5.25359937,interpolated,2.530448254,1.514333816,measured
163,0.461,0.5224787,0.7441947,4/3/19 14:00,1.487804093,8.5383894,5.246572635,interpolated,2.526670516,1.487804093,measured
164,0.465,0.5264655,0.7481815,4/3/19 14:10,1.596569344,8.546363,5.274679575,interpolated,2.541787602,1.596569344,measured
165,0.467,0.5284589,0.7501749,4/3/19 14:20,1.653665357,8.5503498,5.288733045,interpolated,2.54935228,1.653665357,measured
166,0.471,0.5324457,0.7541617,4/3/19 14:30,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
