Date,reach,var,term,estimate,std.error,statistic,p.value,sig_or_not,r.squared,adj.r.squared
7/3/19,upper,NH4_UM,dist_cum_m,-2e-4,0,-6.468164086487192,0,sig,0.66,0.64
7/3/19,upper,PO4_UM,dist_cum_m,0,0,0.11294245136750349,0.9111,not_sig,0,-0.04
7/3/19,upper,NO3_mgNL,dist_cum_m,-0,0,-4.418019723955707,2e-4,sig,0.47,0.45
7/3/19,upper,NH4_mgNL,dist_cum_m,-0,0,-6.468163967626979,0,sig,0.66,0.64
7/3/19,upper,PO4_mgPL,dist_cum_m,0,0,0.1129424513675025,0.9111,not_sig,0,-0.04
7/3/19,upper,TDN_UM,dist_cum_m,-6e-4,3e-4,-1.7656510468181843,0.0913,not_sig,0.12,0.08
7/3/19,upper,TDN_mgNL,dist_cum_m,-0,0,-1.765651060261145,0.0913,not_sig,0.12,0.08
7/3/19,upper,TDP_UM,dist_cum_m,0,0,0.8013702801171485,0.4315,not_sig,0.03,-0.02
7/3/19,upper,TDP_mgPL,dist_cum_m,0,0,0.8013702801171465,0.4315,not_sig,0.03,-0.02
7/3/19,upper,TN_UM,dist_cum_m,-3e-4,2e-4,-1.3025695879656929,0.2062,not_sig,0.07,0.03
7/3/19,upper,TN_mgNL,dist_cum_m,-0,0,-1.3025695763724738,0.2062,not_sig,0.07,0.03
7/3/19,upper,TP_UM,dist_cum_m,0,0,0.12115383084432726,0.9047,not_sig,0,-0.04
7/3/19,upper,TP_mgPL,dist_cum_m,0,0,0.12115383084432244,0.9047,not_sig,0,-0.04
7/3/19,upper,tss_mgL,dist_cum_m,2e-4,1e-4,2.2788329399983698,0.0327,sig,0.19,0.15
7/3/19,upper,NPOC_mgCL,dist_cum_m,0,0,1.9197902225037067,0.0679,not_sig,0.14,0.1
7/3/19,upper,Al_ppb_0.45,dist_cum_m,-0.001,6e-4,-1.7915874518035628,0.0876,not_sig,0.13,0.09
7/3/19,upper,Si_ppb_0.45,dist_cum_m,-0.01,0.0037,-2.7239489642310586,0.0127,sig,0.26,0.23
7/3/19,upper,P_ppb_0.45,dist_cum_m,-2e-4,2e-4,-0.8816755725020001,0.3879,not_sig,0.04,-0.01
7/3/19,upper,Mn_ppb_0.45,dist_cum_m,-1e-4,7e-4,-0.21968057568963398,0.8282,not_sig,0,-0.05
7/3/19,upper,Fe_ppb_0.45,dist_cum_m,0.0031,0.0022,1.4034767146890508,0.1751,not_sig,0.09,0.04
7/3/19,upper,PN,dist_cum_m,0,0,0.9681504628907918,0.3435,not_sig,0.04,-0
7/3/19,upper,DON,dist_cum_m,0,0,1.3010286479766973,0.2067,not_sig,0.07,0.03
7/3/19,upper,PP,dist_cum_m,0,0,0.03899701951392016,0.9692,not_sig,0,-0.05
7/3/19,upper,DOP,dist_cum_m,0,0,1.0669597617120212,0.2976,not_sig,0.05,0.01
7/3/19,upper,TN_TP,dist_cum_m,-2e-4,0.0023,-0.06677237865455511,0.9474,not_sig,0,-0.05
7/3/19,upper,DIN_SRP,dist_cum_m,-0.0209,0.0093,-2.2420809188825905,0.0354,sig,0.19,0.15
7/3/19,upper,DOC_TN,dist_cum_m,1e-4,0,2.436412200562331,0.0234,sig,0.21,0.18
