Date,Time,Site,Unit ID,User ID,C-15F102377,mmHg-18B100990,DO %-15F101915,DO %L-15F101915,DO mg/L-15F101915,SPC-uS/cm-15F102377,C-uS/cm-15F102377,nLFC-uS/cm-15F102377,TDS mg/L-15F102377,SAL-PSU-15F102377,pH-17D108473,pH mV-17D108473,FNU-15E103685,TSS mg/L-15E103685,BGA-PC RFU-15F101336,BGA-PCug/L-15F101336,Chl RFU-15F101336,Chl ug/L-15F101336,fDOM RFU-13M100089,fDOM QSU-13M100089,DEP m-15F100474,Vpos m-15F100474,DEP psia-15F100474,Wiper V-15F101248,Cable V-18B100990,Batt V-18B100990,ALT m-18B100990,Lat-18B100990,Lon-18B100990
7/3/19,11:10:37,Miss wetland,,,27.385,756.1,99.2,99.2,7.85,126.4,132.1,125.8,82,0.06,7.3,-18.7,1.86,0,-0.01,-0.17,0.26,-1.65,8.89,28.24,0.242,0.179,0.343,1.196,0,4.08,35.2,44.97439,-73.16346
7/3/19,11:11:37,Miss wetland,,,27.524,756,100.2,100.2,7.91,126.4,132.5,125.8,82,0.06,7.32,-19.8,1.8,0,-0.1,-0.2,0.35,-1.55,8.75,27.79,0.245,0.183,0.347,1.196,0,4.03,36,44.97478,-73.16265
7/3/19,11:12:37,Miss wetland,,,27.5,756.1,100.9,100.9,7.97,126.4,132.5,125.8,82,0.06,7.34,-20.7,1.75,0,0,-0.17,0.19,-1.72,8.78,27.89,0.236,0.17,0.334,1.196,0,4.09,34.1,44.97517,-73.16184
7/3/19,11:13:37,Miss wetland,,,27.651,756,101.4,101.4,7.99,126.5,132.9,125.8,82,0.06,7.35,-21.6,1.71,0,-0.17,-0.22,0.18,-1.73,8.8,27.95,0.251,0.188,0.356,1.196,0,4.09,34.2,44.97556,-73.16106
7/3/19,11:14:37,Miss wetland,,,27.683,756.1,100.7,100.7,7.93,126.6,133.1,125.9,82,0.06,7.34,-21,1.73,0,-0.08,-0.19,0.01,-1.93,8.77,27.85,0.243,0.179,0.344,1.196,0,4.07,33.6,44.97596,-73.16028
7/3/19,11:15:37,Miss wetland,,,27.844,756.1,99.9,99.9,7.84,126.8,133.7,126,82,0.06,7.34,-20.7,1.64,0,-0.06,-0.18,-0.11,-2.06,8.7,27.65,0.225,0.168,0.318,1.196,0,4.08,28.5,44.97637,-73.15956
7/3/19,11:16:37,Miss wetland,,,27.423,756,98.6,98.6,7.8,126.7,132.6,126.1,82,0.06,7.33,-20.2,1.91,0,-0.08,-0.19,-0.14,-2.08,8.91,28.3,0.239,0.175,0.339,1.196,0,4.08,27.7,44.97679,-73.1589
7/3/19,11:17:37,Miss wetland,,,27.568,756.1,99.2,99.2,7.82,126.8,133,126.1,82,0.06,7.33,-20.2,1.93,0,-0.14,-0.21,-0.05,-1.99,8.94,28.39,0.248,0.178,0.352,1.196,0,4.06,28.6,44.97719,-73.15827
7/3/19,11:18:37,Miss wetland,,,27.306,756.1,98.9,98.9,7.84,126.7,132.2,126.1,82,0.06,7.33,-20.1,1.97,0,-0.03,-0.18,-0.02,-1.95,9,28.59,0.246,0.183,0.348,1.196,0,4.04,30.7,44.97761,-73.15768
7/3/19,11:19:37,Miss wetland,,,27.574,756.1,99.5,99.5,7.84,126.8,133.1,126.2,82,0.06,7.33,-20.1,1.95,0,-0.03,-0.17,-0.09,-2.03,8.96,28.44,0.238,0.175,0.338,1.196,0,4.07,31.5,44.97813,-73.15711
7/3/19,11:20:37,Miss wetland,,,27.269,756,99.5,99.5,7.89,126.8,132.3,126.2,82,0.06,7.33,-20,2.24,0,-0.09,-0.19,0.1,-1.83,9.07,28.8,0.241,0.18,0.341,1.196,0,4.05,30.3,44.97867,-73.15654
7/3/19,11:21:37,Miss wetland,,,27.387,755.9,99.4,99.4,7.86,126.9,132.7,126.3,82,0.06,7.33,-20.2,2.17,0,-0.1,-0.2,0.01,-1.92,9.07,28.79,0.237,0.176,0.336,1.196,0,4.08,30.5,44.97921,-73.15601
7/3/19,11:22:37,Miss wetland,,,27.372,755.9,99.4,99.4,7.87,127,132.7,126.4,83,0.06,7.33,-20.2,2.12,0,0,-0.17,0.12,-1.8,9.07,28.79,0.212,0.14,0.3,1.196,0,4.08,31.5,44.97976,-73.15546
7/3/19,11:23:37,Miss wetland,,,27.311,755.9,99.2,99.2,7.86,127,132.6,126.4,83,0.06,7.33,-20.2,2.11,0,-0.05,-0.18,0.16,-1.76,9.12,28.95,0.231,0.176,0.327,1.196,0,4.04,31.5,44.98033,-73.15496
7/3/19,11:24:37,Miss wetland,,,27.506,756,100,100,7.89,127.1,133.2,126.5,83,0.06,7.33,-20.2,2.02,0,-0.09,-0.2,0.09,-1.83,9.01,28.6,0.225,0.175,0.319,1.196,0,4.07,31.8,44.9809,-73.15446
7/3/19,11:25:37,Miss wetland,,,27.542,755.9,100.1,100.1,7.89,127.2,133.4,126.5,83,0.06,7.34,-20.5,2.02,0,-0.07,-0.19,0.08,-1.84,8.94,28.4,0.242,0.178,0.344,1.196,0,4.07,30.4,44.98146,-73.15395
7/3/19,11:26:37,Miss wetland,,,27.57,756,99.3,99.3,7.83,127.3,133.5,126.6,83,0.06,7.33,-20,2,0,-0.02,-0.17,0.09,-1.84,8.92,28.33,0.241,0.178,0.342,1.196,0,4.01,31.6,44.98204,-73.1535
7/3/19,11:27:37,Miss wetland,,,27.498,755.8,98.3,98.3,7.76,127.3,133.4,126.7,83,0.06,7.31,-19.3,2.01,0,-0.03,-0.18,0.03,-1.9,8.91,28.29,0.239,0.173,0.339,1.196,0,4.05,30.5,44.98261,-73.15301
7/3/19,11:28:37,Miss wetland,,,27.759,755.9,98.2,98.2,7.72,127.5,134.2,126.8,83,0.06,7.31,-19,1.86,0,-0.09,-0.19,0,-1.93,8.81,27.97,0.242,0.178,0.342,1.196,0,4.06,30,44.98318,-73.15252
7/3/19,11:29:37,Miss wetland,,,27.734,755.8,96.8,96.8,7.61,127.7,134.3,127,83,0.06,7.3,-18.2,1.84,0,-0.09,-0.19,-0.01,-1.95,8.89,28.23,0.247,0.178,0.35,1.196,0,4.05,29.2,44.98376,-73.15205
7/3/19,11:30:37,Miss wetland,,,27.792,755.8,97.7,97.7,7.67,127.7,134.5,127,83,0.06,7.3,-18.3,1.69,0,-0.06,-0.18,0,-1.94,8.83,28.05,0.247,0.172,0.35,1.196,0,4.06,31.4,44.98435,-73.15162
7/3/19,11:31:37,Miss wetland,,,27.625,755.8,98,98,7.72,127.6,134,126.9,83,0.06,7.3,-18.3,1.74,0,-0.04,-0.18,0.09,-1.83,8.85,28.11,0.236,0.179,0.334,1.196,0,4.06,31.1,44.98493,-73.15119
7/3/19,11:32:37,Miss wetland,,,28.346,755.8,99,99,7.7,128,136.2,127.2,83,0.06,7.31,-19.3,1.49,0,-0.19,-0.22,0.01,-1.92,8.64,27.47,0.24,0.171,0.34,1.196,0,4.04,31.2,44.98558,-73.15092
7/3/19,11:33:37,Miss wetland,,,27.414,755.8,99.5,99.5,7.87,127.9,133.8,127.3,83,0.06,7.31,-19.3,1.76,0,-0.06,-0.18,-0.03,-1.97,9.03,28.67,0.233,0.17,0.33,1.196,0,4.05,32.4,44.98625,-73.15073
7/3/19,11:34:37,Miss wetland,,,26.957,755.8,98.3,98.3,7.84,127.9,132.7,127.4,83,0.06,7.3,-18.3,2.02,0,-0.12,-0.2,0.03,-1.9,9.37,29.72,0.258,0.195,0.365,1.196,0,4.01,31,44.98686,-73.15065
7/3/19,11:35:37,Miss wetland,,,27.616,755.8,99.4,99.4,7.83,128.3,134.7,127.6,83,0.06,7.31,-19.2,1.77,0,-0.08,-0.19,0.11,-1.81,9.03,28.66,0.261,0.197,0.37,1.196,0,4.05,28.3,44.98746,-73.15064
7/3/19,11:36:37,Miss wetland,,,27.983,755.8,100.1,100.1,7.84,128.5,135.8,127.7,83,0.06,7.33,-20.1,1.65,0,-0.16,-0.21,0.24,-1.67,8.86,28.15,0.259,0.186,0.366,1.196,0,4.05,29.3,44.98804,-73.15061
